donor	donor_real_conc	run	donor_conc
TEC	0.0195	79	2
TEC	0.00975	79	3
TEL	0.125	51	1
TEL	0.0625	51	2
TEL	0.03125	51	3
TEL	0.125	61	1
TEL	0.0625	61	2
TEL	0.03125	61	3
TEL	0.0156	69	1
TEL	0.0078	69	2
TEL	0.0039	69	3
TGC	0.156	61	1
TGC	0.078	61	2
TGC	0.039	61	3
TGC	0.5	70	1
TGC	0.25	70	2
TGC	0.125	70	3
TMP	2	51	1
TMP	1	51	2
TMP	0.5	51	3
TMP	2	62	1
TMP	1	62	2
TMP	0.5	62	3
TMP	1	69	1
TMP	0.5	69	2
TMP	0.25	69	3
TMP	0.5	79	1
TMP	0.25	79	2
TMP	0.125	79	3
TMP	0.4	85	1
TMP	0.2	85	2
TMP	0.1	85	3
TRI	2	61	1
TRI	1	61	2
TRI	0.5	61	3
TRI	0.25	69	1
TRI	0.125	69	2
TRI	0.0625	69	3
TZD	0.125	61	1
TZD	0.0625	61	2
TZD	0.03125	61	3
U1	7	62	1
U1	3.5	62	2
U1	1.75	62	3
VAN	0.375	62	1
VAN	0.1875	62	2
VAN	0.09375	62	3
VIR	0.25	62	1
VIR	0.125	62	2
VIR	0.0625	62	3
AZM	1	105	1
AZM	0.5	105	2
AZM	0.25	105	3
BZK	2.5	105	1
BZK	1.25	105	2
BZK	0.625	105	3
FEP	0.25	105	1
FEP	0.125	105	2
FEP	0.0625	105	3
PLM	3	105	1
PLM	1.5	105	2
PLM	0.75	105	3
CHL	2	105	1
CHL	1	105	2
CHL	0.5	105	3
CIP	0.039	106	1
CIP	0.0195	106	2
CIP	0.00975	106	3
CLI	0.0156	106	1
CLI	0.0078	106	2
CLI	0.0039	106	3
CXA	0.195	106	1
CXA	0.0975	106	2
CXA	0.04875	106	3
CTC	0.19	106	1
CTC	0.095	106	2
CTC	0.0475	106	3
DCS	0.5	106	1
DCS	0.25	106	2
DCS	0.125	106	3
DXR	2.5	106	1
DXR	1.25	106	2
DXR	0.625	106	3
DOX	0.08	109	1
DOX	0.04	109	2
DOX	0.02	109	3
EGCG	25	109	1
EGCG	12.5	109	2
EGCG	6.25	109	3
FOF	6.248	109	1
FOF	3.124	109	2
FOF	1.562	109	3
GEN	0.25	109	1
GEN	0.125	109	2
GEN	0.0625	109	3
IPM	0.031	109	1
IPM	0.0155	109	2
IPM	0.00775	109	3
LIN	0.4	109	1
LIN	0.2	109	2
LIN	0.1	109	3
