donor_real_conc	run	donor	donor_conc	biol_rep
1.0725	111	MTR	3	2
4.29	112	MCZ	1	1
2.145	112	MCZ	2	1
1.0725	112	MCZ	3	1
0.0043	112	MMC	1	1
0.00215	112	MMC	2	1
0.001075	112	MMC	3	1
0.02	112	MXF	1	1
0.01	112	MXF	2	1
0.005	112	MXF	3	1
1.71	112	NSN	1	1
0.855	112	NSN	2	1
0.4275	112	NSN	3	1
5.14	112	NIT	1	1
2.57	112	NIT	2	1
1.285	112	NIT	3	1
4.29	113	MCZ	1	2
2.145	113	MCZ	2	2
1.0725	113	MCZ	3	2
0.0043	113	MMC	1	2
0.00215	113	MMC	2	2
0.001075	113	MMC	3	2
0.02	113	MXF	1	2
0.01	113	MXF	2	2
0.005	113	MXF	3	2
1.71	113	NSN	1	2
0.855	113	NSN	2	2
0.4275	113	NSN	3	2
5.14	113	NIT	1	2
2.57	113	NIT	2	2
1.285	113	NIT	3	2
2	114	PRI	1	1
1	114	PRI	2	1
0.5	114	PRI	3	1
342	114	PRC	1	1
171	114	PRC	2	1
85.5	114	PRC	3	1
0.12	114	MUP	1	1
0.06	114	MUP	2	1
0.03	114	MUP	3	1
5.71	114	PLM	1	1
2.855	114	PLM	2	1
1.4275	114	PLM	3	1
1.3	114	PYO	1	1
0.65	114	PYO	2	1
0.325	114	PYO	3	1
0.2	114	RIF	1	1
0.1	114	RIF	2	1
0.05	114	RIF	3	1
0.0155	115	DOX	1	1
0.00775	115	DOX	2	1
0.003875	115	DOX	3	1
0.062	115	ORI	1	1
0.031	115	ORI	2	1
0.0155	115	ORI	3	1
0.04	115	OXA	1	1
0.02	115	OXA	2	1
0.01	115	OXA	3	1
0.5	115	LEX	1	1
0.25	115	LEX	2	1
0.125	115	LEX	3	1
16	115	SPT	1	1
8	115	SPT	2	1
4	115	SPT	3	1
8	115	STR	1	1
4	115	STR	2	1
2	115	STR	3	1
6	116	PQ	1	1
3	116	PQ	2	1
1.5	116	PQ	3	1
0.014	116	PEN	1	1
0.007	116	PEN	2	1
0.0035	116	PEN	3	1
4.8	116	STZ	1	1
2.4	116	STZ	2	1
1.2	116	STZ	3	1
4	116	SMX	1	1
2	116	SMX	2	1
1	116	SMX	3	1
0.125	116	TZD	1	1
0.0625	116	TZD	2	1
0.03125	116	TZD	3	1
2.6	116	TGC	1	1
1.3	116	TGC	2	1
0.65	116	TGC	3	1
4	117	PUR	1	1
2	117	PUR	2	1
1	117	PUR	3	1
0.3	117	TEC	1	1
0.15	117	TEC	2	1
0.075	117	TEC	3	1
7	117	U1	1	1
3.5	117	U1	2	1
1.75	117	U1	3	1
0.125	117	VAN	1	1
0.0625	117	VAN	2	1
0.03125	117	VAN	3	1
2	117	VIR	1	1
0.3	117	VIR	2	1
0.15	117	VIR	3	1
0.062	117	DOX	1	2
0.031	117	DOX	2	2
0.0155	117	DOX	3	2
0.125	118	AZM	1	3
0.0625	118	AZM	2	3
0.03125	118	AZM	3	3
0.031	118	CXA	1	3
0.0155	118	CXA	2	3
0.00775	118	CXA	3	3
0.04	118	OXA	1	2
0.02	118	OXA	2	2
0.01	118	OXA	3	2
16	118	STR	1	2
8	118	STR	2	2
4	118	STR	3	2
0.125	118	TZD	1	2
0.0625	118	TZD	2	2
0.03125	118	TZD	3	2
2.6	118	TGC	1	2
1.3	118	TGC	2	2
0.65	118	TGC	3	2
0.03125	119	CLR	1	3
0.015625	119	CLR	2	3
0.0078125	119	CLR	3	3
0.014	119	PEN	1	2
0.007	119	PEN	2	2
0.0035	119	PEN	3	2
0.12	119	MUP	1	2
0.06	119	MUP	2	2
0.03	119	MUP	3	2
0.1	119	RIF	1	2
0.05	119	RIF	2	2
0.025	119	RIF	3	2
0.125	119	VAN	1	2
0.0625	119	VAN	2	2
0.03125	119	VAN	3	2
2	119	VIR	1	2
1	119	VIR	2	2
0.5	119	VIR	3	2
