Well_id	3847WP_id	Well	Drug	Conc_flag	Concentration	Replicate	Full name	Well_letter	Well_number	quadrant id
P1_D18	P1	D18	TPH	3	2.5	1	TPH_3_2.5	D	18	P1_Q4
P1_D20	P1	D20	VIR	1	0.25	2	VIR_1_0.25	D	20	P1_Q4
P1_D22	P1	D22	VIR	2	0.125	2	VIR_2_0.125	D	22	P1_Q4
P1_D24	P1	D24	VIR	3	0.0625	2	VIR_3_0.0625	D	24	P1_Q4
P1_F2	P1	F2	STR	1	8	1	STR_1_8	F	2	P1_Q4
P1_F4	P1	F4	STR	2	4	1	STR_2_4	F	4	P1_Q4
P1_F6	P1	F6	STR	3	2	1	STR_3_2	F	6	P1_Q4
P1_F8	P1	F8	RIF	1	0.016	2	RIF_1_0.016	F	8	P1_Q4
P1_F10	P1	F10	RIF	2	0.008	2	RIF_2_0.008	F	10	P1_Q4
P1_F12	P1	F12	RIF	3	0.004	2	RIF_3_0.004	F	12	P1_Q4
P1_F14	P1	F14	TGC	1	0.156	1	TGC_1_0.156	F	14	P1_Q4
P1_F16	P1	F16	TGC	2	0.078	1	TGC_2_0.078	F	16	P1_Q4
P1_F18	P1	F18	TGC	3	0.039	1	TGC_3_0.039	F	18	P1_Q4
P1_F20	P1	F20	ONE	1	0	2	ONE_1_0	F	20	P1_Q4P1_F22	P1	F22	ONE	2	0	2	ONE_2_0	F	22	P1_Q4P1_F24	P1	F24	ONE	3	0	2	ONE_3_0	F	24	P1_Q4
P1_H2	P1	H2	STZ	1	0.6	1	STZ_1_0.6	H	2	P1_Q4
P1_H4	P1	H4	STZ	2	0.3	1	STZ_2_0.3	H	4	P1_Q4
P1_H6	P1	H6	STZ	3	0.15	1	STZ_3_0.15	H	6	P1_Q4
P1_H8	P1	H8	SPT	1	16	2	SPT_1_16	H	8	P1_Q4
P1_H10	P1	H10	SPT	2	8	2	SPT_2_8	H	10	P1_Q4
P1_H12	P1	H12	SPT	3	4	2	SPT_3_4	H	12	P1_Q4
P1_H14	P1	H14	TRI	1	0.062	1	TRI_1_0.062	H	14	P1_Q4
P1_H16	P1	H16	TRI	2	0.031	1	TRI_2_0.031	H	16	P1_Q4
P1_H18	P1	H18	TRI	3	0.0155	1	TRI_3_0.0155	H	18	P1_Q4
P1_H20	P1	H20	TPH	1	10	2	TPH_1_10	H	20	P1_Q4
P1_H22	P1	H22	TPH	2	5	2	TPH_2_5	H	22	P1_Q4
P1_H24	P1	H24	TPH	3	2.5	2	TPH_3_2.5	H	24	P1_Q4
P1_J2	P1	J2	SMX	1	4	1	SMX_1_4	J	2	P1_Q4
P1_J4	P1	J4	SMX	2	2	1	SMX_2_2	J	4	P1_Q4
P1_J6	P1	J6	SMX	3	1	1	SMX_3_1	J	6	P1_Q4
P1_J8	P1	J8	STR	1	8	2	STR_1_8	J	8	P1_Q4
P1_J10	P1	J10	STR	2	4	2	STR_2_4	J	10	P1_Q4
P1_J12	P1	J12	STR	3	2	2	STR_3_2	J	12	P1_Q4
P1_J14	P1	J14	TMP	1	0.5	1	TMP_1_0.5	J	14	P1_Q4
P1_J16	P1	J16	TMP	2	0.25	1	TMP_2_0.25	J	16	P1_Q4
P1_J18	P1	J18	TMP	3	0.125	1	TMP_3_0.125	J	18	P1_Q4
P1_J20	P1	J20	TGC	1	0.156	2	TGC_1_0.156	J	20	P1_Q4
P1_J22	P1	J22	TGC	2	0.078	2	TGC_2_0.078	J	22	P1_Q4
P1_J24	P1	J24	TGC	3	0.039	2	TGC_3_0.039	J	24	P1_Q4
P1_L2	P1	L2	TZD	1	0.25	1	TZD_1_0.25	L	2	P1_Q4
P1_L4	P1	L4	TZD	2	0.125	1	TZD_2_0.125	L	4	P1_Q4
P1_L6	P1	L6	TZD	3	0.0625	1	TZD_3_0.0625	L	6	P1_Q4
P1_L8	P1	L8	STZ	1	0.6	2	STZ_1_0.6	L	8	P1_Q4
P1_L10	P1	L10	STZ	2	0.3	2	STZ_2_0.3	L	10	P1_Q4
P1_L12	P1	L12	STZ	3	0.15	2	STZ_3_0.15	L	12	P1_Q4
P1_L14	P1	L14	U1	1	7	1	U1_1_7	L	14	P1_Q4
P1_L16	P1	L16	U1	2	3.5	1	U1_2_3.5	L	16	P1_Q4
P1_L18	P1	L18	U1	3	1.75	1	U1_3_1.75	L	18	P1_Q4
P1_L20	P1	L20	TRI	1	0.062	2	TRI_1_0.062	L	20	P1_Q4
P1_L22	P1	L22	TRI	2	0.031	2	TRI_2_0.031	L	22	P1_Q4
P1_L24	P1	L24	TRI	3	0.0155	2	TRI_3_0.0155	L	24	P1_Q4
P1_N2	P1	N2	BUG	1	0	1	BUG_1_0	N	2	P1_Q4P1_N4	P1	N4	BUG	2	0	1	BUG_2_0	N	4	P1_Q4P1_N6	P1	N6	BUG	3	0	1	BUG_3_0	N	6	P1_Q4
P1_N8	P1	N8	SMX	1	4	2	SMX_1_4	N	8	P1_Q4
P1_N10	P1	N10	SMX	2	2	2	SMX_2_2	N	10	P1_Q4
P1_N12	P1	N12	SMX	3	1	2	SMX_3_1	N	12	P1_Q4
P1_N14	P1	N14	VAN	1	0.75	1	VAN_1_0.75	N	14	P1_Q4
P1_N16	P1	N16	VAN	2	0.375	1	VAN_2_0.375	N	16	P1_Q4
P1_N18	P1	N18	VAN	3	0.1875	1	VAN_3_0.1875	N	18	P1_Q4
P1_N20	P1	N20	TMP	1	0.5	2	TMP_1_0.5	N	20	P1_Q4
P1_N22	P1	N22	TMP	2	0.25	2	TMP_2_0.25	N	22	P1_Q4
P1_N24	P1	N24	TMP	3	0.125	2	TMP_3_0.125	N	24	P1_Q4
P1_P2	P1	P2	TEL	1	0.125	1	TEL_1_0.125	P	2	P1_Q4
P1_P4	P1	P4	TEL	2	0.0625	1	TEL_2_0.0625	P	4	P1_Q4
P1_P6	P1	P6	TEL	3	0.03125	1	TEL_3_0.03125	P	6	P1_Q4
P1_P8	P1	P8	TZD	1	0.25	2	TZD_1_0.25	P	8	P1_Q4
P1_P10	P1	P10	TZD	2	0.125	2	TZD_2_0.125	P	10	P1_Q4
P1_P12	P1	P12	TZD	3	0.0625	2	TZD_3_0.0625	P	12	P1_Q4
P1_P14	P1	P14	VIR	1	0.25	1	VIR_1_0.25	P	14	P1_Q4
P1_P16	P1	P16	VIR	2	0.125	1	VIR_2_0.125	P	16	P1_Q4
P1_P18	P1	P18	VIR	3	0.0625	1	VIR_3_0.0625	P	18	P1_Q4
P1_P20	P1	P20	U1	1	7	2	U1_1_7	P	20	P1_Q4
P1_P22	P1	P22	U1	2	3.5	2	U1_2_3.5	P	22	P1_Q4
P1_P24	P1	P24	U1	3	1.75	2	U1_3_1.75	P	24	P1_Q4
