Well_id	3847WP_id	Well	Drug	Conc_flag	Concentration	Replicate	Full name	Well_letter	Well_number	quadrant id
P1_K21	P1	K21	CER	2	3.9	2	CER_2_3.9	K	21	P1_Q1
P1_K23	P1	K23	CER	3	1.95	2	CER_3_1.95	K	23	P1_Q1
P1_M1	P1	M1	BZK	1	1.25	1	BZK_1_1.25	M	1	P1_Q1
P1_M3	P1	M3	BZK	2	0.625	1	BZK_2_0.625	M	3	P1_Q1
P1_M5	P1	M5	BZK	3	0.3125	1	BZK_3_0.3125	M	5	P1_Q1
P1_M7	P1	M7	AZM	1	0.5	2	AZM_1_0.5	M	7	P1_Q1
P1_M9	P1	M9	AZM	2	0.25	2	AZM_2_0.25	M	9	P1_Q1
P1_M11	P1	M11	AZM	3	0.125	2	AZM_3_0.125	M	11	P1_Q1
P1_M13	P1	M13	CLR	1	0.234	1	CLR_1_0.234	M	13	P1_Q1
P1_M15	P1	M15	CLR	2	0.117	1	CLR_2_0.117	M	15	P1_Q1
P1_M17	P1	M17	CLR	3	0.0585	1	CLR_3_0.0585	M	17	P1_Q1
P1_M19	P1	M19	CHL	1	3	2	CHL_1_3	M	19	P1_Q1
P1_M21	P1	M21	CHL	2	1.5	2	CHL_2_1.5	M	21	P1_Q1
P1_M23	P1	M23	CHL	3	0.75	2	CHL_3_0.75	M	23	P1_Q1
P1_O1	P1	O1	CCCP	1	2.3	1	CCCP_1_2.3	O	1	P1_Q1
P1_O3	P1	O3	CCCP	2	1.15	1	CCCP_2_1.15	O	3	P1_Q1
P1_O5	P1	O5	CCCP	3	0.575	1	CCCP_3_0.575	O	5	P1_Q1
P1_O7	P1	O7	BAC	1	75	2	BAC_1_75	O	7	P1_Q1
P1_O9	P1	O9	BAC	2	37.5	2	BAC_2_37.5	O	9	P1_Q1
P1_O11	P1	O11	BAC	3	18.75	2	BAC_3_18.75	O	11	P1_Q1
P1_O13	P1	O13	CLI	1	0.125	1	CLI_1_0.125	O	13	P1_Q1
P1_O15	P1	O15	CLI	2	0.0625	1	CLI_2_0.0625	O	15	P1_Q1
P1_O17	P1	O17	CLI	3	0.03125	1	CLI_3_0.03125	O	17	P1_Q1
P1_O19	P1	O19	CIP	1	0.312	2	CIP_1_0.312	O	19	P1_Q1
P1_O21	P1	O21	CIP	2	0.156	2	CIP_2_0.156	O	21	P1_Q1
P1_O23	P1	O23	CIP	3	0.078	2	CIP_3_0.078	O	23	P1_Q1
P1_A2	P1	A2	CTC	1	0.048	1	CTC_1_0.048	A	2	P1_Q2
P1_A4	P1	A4	CTC	2	0.024	1	CTC_2_0.024	A	4	P1_Q2
P1_A6	P1	A6	CTC	3	0.012	1	CTC_3_0.012	A	6	P1_Q2
P1_A8	P1	A8	ERI	1	0.125	2	ERI_1_0.125	A	8	P1_Q2
P1_A10	P1	A10	ERI	2	0.0625	2	ERI_2_0.0625	A	10	P1_Q2
P1_A12	P1	A12	ERI	3	0.03125	2	ERI_3_0.03125	A	12	P1_Q2
P1_A14	P1	A14	FUS	1	0.095	1	FUS_1_0.095	A	14	P1_Q2
P1_A16	P1	A16	FUS	2	0.0475	1	FUS_2_0.0475	A	16	P1_Q2
P1_A18	P1	A18	FUS	3	0.02375	1	FUS_3_0.02375	A	18	P1_Q2
P1_A20	P1	A20	LOP	1	100	2	LOP_1_100	A	20	P1_Q2
P1_A22	P1	A22	LOP	2	50	2	LOP_2_50	A	22	P1_Q2
P1_A24	P1	A24	LOP	3	25	2	LOP_3_25	A	24	P1_Q2
P1_C2	P1	C2	DCS	1	1.5	1	DCS_1_1.5	C	2	P1_Q2
P1_C4	P1	C4	DCS	2	0.75	1	DCS_2_0.75	C	4	P1_Q2
P1_C6	P1	C6	DCS	3	0.375	1	DCS_3_0.375	C	6	P1_Q2
P1_C8	P1	C8	FOF	1	3.124	2	FOF_1_3.124	C	8	P1_Q2
P1_C10	P1	C10	FOF	2	1.562	2	FOF_2_1.562	C	10	P1_Q2
P1_C12	P1	C12	FOF	3	0.781	2	FOF_3_0.781	C	12	P1_Q2
P1_C14	P1	C14	GEN	1	4	1	GEN_1_4	C	14	P1_Q2
P1_C16	P1	C16	GEN	2	2	1	GEN_2_2	C	16	P1_Q2
P1_C18	P1	C18	GEN	3	1	1	GEN_3_1	C	18	P1_Q2
P1_C20	P1	C20	MTR	1	2.5	2	MTR_1_2.5	C	20	P1_Q2
P1_C22	P1	C22	MTR	2	1.25	2	MTR_2_1.25	C	22	P1_Q2
P1_C24	P1	C24	MTR	3	0.625	2	MTR_3_0.625	C	24	P1_Q2
P1_E2	P1	E2	DAP	1	0.5	1	DAP_1_0.5	E	2	P1_Q2
P1_E4	P1	E4	DAP	2	0.25	1	DAP_2_0.25	E	4	P1_Q2
P1_E6	P1	E6	DAP	3	0.125	1	DAP_3_0.125	E	6	P1_Q2
P1_E8	P1	E8	CTC	1	0.048	2	CTC_1_0.048	E	8	P1_Q2
P1_E10	P1	E10	CTC	2	0.024	2	CTC_2_0.024	E	10	P1_Q2
P1_E12	P1	E12	CTC	3	0.012	2	CTC_3_0.012	E	12	P1_Q2
P1_E14	P1	E14	IPM	1	0.016	1	IPM_1_0.016	E	14	P1_Q2
P1_E16	P1	E16	IPM	2	0.008	1	IPM_2_0.008	E	16	P1_Q2
P1_E18	P1	E18	IPM	3	0.004	1	IPM_3_0.004	E	18	P1_Q2
P1_E20	P1	E20	FUS	1	0.095	2	FUS_1_0.095	E	20	P1_Q2
P1_E22	P1	E22	FUS	2	0.0475	2	FUS_2_0.0475	E	22	P1_Q2
P1_E24	P1	E24	FUS	3	0.02375	2	FUS_3_0.02375	E	24	P1_Q2
P1_G2	P1	G2	DXR	1	2.5	1	DXR_1_2.5	G	2	P1_Q2
P1_G4	P1	G4	DXR	2	1.25	1	DXR_2_1.25	G	4	P1_Q2
P1_G6	P1	G6	DXR	3	0.625	1	DXR_3_0.625	G	6	P1_Q2
P1_G8	P1	G8	DCS	1	1.5	2	DCS_1_1.5	G	8	P1_Q2
P1_G10	P1	G10	DCS	2	0.75	2	DCS_2_0.75	G	10	P1_Q2
P1_G12	P1	G12	DCS	3	0.375	2	DCS_3_0.375	G	12	P1_Q2
P1_G14	P1	G14	LCX	1	0.25	1	LCX_1_0.25	G	14	P1_Q2
P1_G16	P1	G16	LCX	2	0.125	1	LCX_2_0.125	G	16	P1_Q2
P1_G18	P1	G18	LCX	3	0.0625	1	LCX_3_0.0625	G	18	P1_Q2
P1_G20	P1	G20	GEN	1	4	2	GEN_1_4	G	20	P1_Q2
P1_G22	P1	G22	GEN	2	2	2	GEN_2_2	G	22	P1_Q2
P1_G24	P1	G24	GEN	3	1	2	GEN_3_1	G	24	P1_Q2
P1_I2	P1	I2	DOX	1	0.031	1	DOX_1_0.031	I	2	P1_Q2
P1_I4	P1	I4	DOX	2	0.0155	1	DOX_2_0.0155	I	4	P1_Q2
P1_I6	P1	I6	DOX	3	0.00775	1	DOX_3_0.00775	I	6	P1_Q2
P1_I8	P1	I8	DAP	1	0.5	2	DAP_1_0.5	I	8	P1_Q2
P1_I10	P1	I10	DAP	2	0.25	2	DAP_2_0.25	I	10	P1_Q2
P1_I12	P1	I12	DAP	3	0.125	2	DAP_3_0.125	I	12	P1_Q2
P1_I14	P1	I14	LIN	1	0.4	1	LIN_1_0.4	I	14	P1_Q2
P1_I16	P1	I16	LIN	2	0.2	1	LIN_2_0.2	I	16	P1_Q2
P1_I18	P1	I18	LIN	3	0.1	1	LIN_3_0.1	I	18	P1_Q2
P1_I20	P1	I20	IPM	1	0.016	2	IPM_1_0.016	I	20	P1_Q2
P1_I22	P1	I22	IPM	2	0.008	2	IPM_2_0.008	I	22	P1_Q2
P1_I24	P1	I24	IPM	3	0.004	2	IPM_3_0.004	I	24	P1_Q2
P1_K2	P1	K2	EGCG	1	50	1	EGCG_1_50	K	2	P1_Q2
P1_K4	P1	K4	EGCG	2	25	1	EGCG_2_25	K	4	P1_Q2
P1_K6	P1	K6	EGCG	3	12.5	1	EGCG_3_12.5	K	6	P1_Q2
P1_K8	P1	K8	DXR	1	2.5	2	DXR_1_2.5	K	8	P1_Q2
P1_K10	P1	K10	DXR	2	1.25	2	DXR_2_1.25	K	10	P1_Q2
P1_K12	P1	K12	DXR	3	0.625	2	DXR_3_0.625	K	12	P1_Q2
P1_K14	P1	K14	LZD	1	0.5	1	LZD_1_0.5	K	14	P1_Q2
P1_K16	P1	K16	LZD	2	0.25	1	LZD_2_0.25	K	16	P1_Q2
P1_K18	P1	K18	LZD	3	0.125	1	LZD_3_0.125	K	18	P1_Q2
P1_K20	P1	K20	LCX	1	0.25	2	LCX_1_0.25	K	20	P1_Q2
P1_K22	P1	K22	LCX	2	0.125	2	LCX_2_0.125	K	22	P1_Q2
P1_K24	P1	K24	LCX	3	0.0625	2	LCX_3_0.0625	K	24	P1_Q2
P1_M2	P1	M2	ERI	1	0.125	1	ERI_1_0.125	M	2	P1_Q2
P1_M4	P1	M4	ERI	2	0.0625	1	ERI_2_0.0625	M	4	P1_Q2
P1_M6	P1	M6	ERI	3	0.03125	1	ERI_3_0.03125	M	6	P1_Q2
