donor_real_conc	run	donor	donor_conc
0.0625	3	TZD	3
0.15625	14	TEC	3
0.03125	10	TEL	3
2.5	14	TPH	3
0.039	10	TGC	3
0.0155	4	TRI	3
0.125	1	TMP	3
1.75	24	U1	3
0.1875	1	VAN	3
0.5	50	VIR	3
0.0625	12	AMX	3
0.0625	16	AUR	3
0.125	19	AZM	3
18.75	12	BAC	3
0.3125	17	BZK	3
0.575	21	CCCP	3
0.125	16	FEP	3
0.078	17	CTX	3
0.25	19	LEX	3
1.95	21	CER	3
0.75	13	CHL	3
0.0375	20	CIP	3
0.0585	17	CLR	3
0.03125	21	CLI	3
0.125	21	DAP	3
0.625	13	DXR	3
0.00775	20	DOX	3
12.5	25	EGCG	3
0.125	22	ERI	3
0.781	20	FOF	3
0.5	6	GEN	3
0.125	8	IPM	3
0.03125	22	LCX	3
0.1	17	LIN	3
0.125	22	LZD	3
25	22	LOP	3
0.625	23	MTR	3
0.75	13	MCZ	3
0.0075	17	MXF	3
0.0125	23	NIT	3
0.0125	12	NVB	3
1	16	ORI	3
0.015625	19	OXA	3
1.25	24	PLM	3
0.0625	16	PRI	3
0.39	23	PUR	3
1.25	23	PYO	3
0.00775	24	RIF	3
4	13	SPT	3
1	16	STR	3
1	24	SMX	3
0.0625	16	TZD	3
0.62	50	TEC	3
0.03125	24	TEL	3
0.039	24	TGC	3
0.0155	12	TRI	3
0.125	19	TMP	3
1.75	24	U1	3
0.1875	19	VAN	3
0.0625	25	AMX	3
0.07	64	CCCP	3
0.0585	21	CLR	3
0.03125	64	ERI	3
0.5	19	GEN	3
0.004	20	IPM	3
0.0075	25	MXF	3
16	65	SPT	3
2	50	SMX	3
0.0625	65	AMX	3
0.125	65	CLA	1
0.0625	65	CLA	2
0.03125	65	CLA	3
0.125	65	AMXCLA	1
0.0625	65	AMXCLA	2
0.03125	65	AMXCLA	3
0.195	64	CXA	1
0.0975	64	CXA	2
0.04875	64	CXA	3
1000	2	ASA	1
500	2	ASA	2
250	2	ASA	3
1000	17	ASA	1
500	17	ASA	2
250	17	ASA	3
0.095	7	CTC	1
0.0475	7	CTC	2
0.02375	7	CTC	3
0.095	8	CTC	1
0.0475	8	CTC	2
0.02375	8	CTC	3
0.048	20	CTC	1
0.024	20	CTC	2
0.012	20	CTC	3
0.012	50	CTC	1
0.006	50	CTC	2
0.003	50	CTC	3
1.5	4	DCS	1
0.75	4	DCS	2
0.375	4	DCS	3
1.5	12	DCS	1
0.75	12	DCS	2
0.375	12	DCS	3
0.125	8	FUS	1
0.0625	8	FUS	2
0.0313	8	FUS	3
0.784	22	FUS	1
0.392	22	FUS	2
0.196	22	FUS	3
0.095	64	FUS	1
0.0475	64	FUS	2
0.0238	64	FUS	3
0.0625	14	MMC	1
0.0313	14	MMC	2
0.0156	14	MMC	3
0.078	9	PEN	1
0.039	9	PEN	2
0.0195	9	PEN	3
0.078	13	PEN	1
0.039	13	PEN	2
0.0195	13	PEN	3
1	25	ADEP	1
0.5	25	ADEP	2
0.25	25	ADEP	3
0.375	65	ADEP	1
0.188	65	ADEP	2
0.094	65	ADEP	3
0.125	64	MUP	1
0.0625	64	MUP	2
0.0313	64	MUP	3
